SAN MIGUEL;UCSF CIUDAD BARRIOS;CAROLINA;UCSFE CAROLINA
SAN MIGUEL;UCSF CIUDAD BARRIOS;CAROLINA;UCSF CAROLINA URBANA
SAN MIGUEL;UCSF CIUDAD BARRIOS;CAROLINA;UCSF CAROLINA SM  LA CEIBITA
SAN MIGUEL;UCSF CIUDAD BARRIOS;CAROLINA;UCSF CAROLINA SM ROSA NACASPILO
SAN MIGUEL;UCSF CHINAMECA;SAN BUENA VENTURA;UCSF SANBUENAVENTURA
SAN MIGUEL;UCSF CHINAMECA;SAN BUENA VENTURA;UCSF LAS CHARCAS (SAN BUENA)
SAN MIGUEL;UCSF CIUDAD BARRIOS;SAN GERARDO;UCSF SAN GERARDO 
SAN MIGUEL;UCSF CIUDAD BARRIOS;SAN GERARDO;CASA DE ESPERA MATERNA DE SAN GERARDO
SAN MIGUEL;UCSF CIUDAD BARRIOS;SAN GERARDO;UCSF SAN GERARDO SM  LA LAGUNA
SAN MIGUEL;UCSF CIUDAD BARRIOS;SAN GERARDO;UCSF SAN GERARDO SM SAN JERONIMO
SAN MIGUEL;UCSF CIUDAD BARRIOS;SESORI;UCSFE  SESORI
SAN MIGUEL;UCSF CIUDAD BARRIOS;SESORI;UCSF  SESORI URBANO
SAN MIGUEL;UCSF CIUDAD BARRIOS;SESORI;UCSF SESORI SM MANAGUARA
SAN MIGUEL;UCSF CIUDAD BARRIOS;SESORI;UCSF SESORI SM EL TABLON
SAN MIGUEL;UCSF CIUDAD BARRIOS;SESORI;UCSF SESORI SM SAN SEBASTIAN
SAN MIGUEL;UCSF CHINAMECA;LOLOTIQUE;UCSF LOLOTIQUE
SAN MIGUEL;UCSF  SAN MIGUEL;QUELEPA;UCSF QUELEPA
SAN MIGUEL;UCSF  SAN MIGUEL;ULUAZAPA;UCSF ULUAZAPA
SAN MIGUEL;UCSF CIUDAD BARRIOS;SAN ANTONIO;UCSF SAN ANTONIO SM
SAN MIGUEL;UCSF CIUDAD BARRIOS;SAN ANTONIO;UCSF SAN ANTONIO SM  SAN MARCOS
SAN MIGUEL;UCSF CIUDAD BARRIOS;SAN SIMON;UCSF CIUDAD BARRIOS SAN SIMON MO EL CARRIZAL 1
SAN MIGUEL;UCSF CIUDAD BARRIOS;SAN SIMON;UCSF SAN SIMON MO LAS QUEBRADAS
SAN MIGUEL;UCSF CHINAMECA;CHAPELTIQUE;UCSF CHAPELTIQUE
SAN MIGUEL;UCSF CHINAMECA;CHAPELTIQUE;UCSF CHAPELTIQUE, SM, LA TRINIDAD(EL RODEO)
SAN MIGUEL;UCSF CHINAMECA;JUCUAPA;UCSF JUCUAPA
SAN MIGUEL;UCSF EL ZAMORÁN;COMACARAN;UCSF COMACARAN
SAN MIGUEL;UCSF EL ZAMORÁN;YUCUAYQUIN;CASA DE  SALUD YUCUAYQUIN LU LOS HATILLOS
SAN MIGUEL;UCSF EL ZAMORÁN;YUCUAYQUIN;UCSF YUCUAYQUIN
